iterID,x1,x2,x3,x4,x5,x6,Pareto_f1,Pareto_f2
0,0.18293783464244157,0.6305910002606931,0.690345352732629,0.1816277276656323,0.14121826644630156,0.944206615182646,0.18293783464244157,4.734396133750422
0,0.8560148536979775,0.23839645545747315,0.20092112535721462,0.46114717294192586,0.6734061324801085,0.21529803768888536,0.8560148536979775,1.4789861011574734
1,0.0,0.42295501857312723,0.1927080788639981,0.27926549611829377,0.3617799129061513,0.6295901371181399,0.0,4.395337558443479
1,0.3318808616110846,0.21815344885357954,0.19325318035752673,0.44647455336827413,0.6654945910483269,0.21884482628894872,0.3318808616110846,3.2439408064933013
1,0.8560148536979775,0.23839645545747315,0.20092112535721462,0.46114717294192586,0.6734061324801085,0.21529803768888536,0.8560148536979775,1.4789861011574734
2,0.0,0.42295501857312723,0.1927080788639981,0.27926549611829377,0.3617799129061513,0.6295901371181399,0.0,4.395337558443479
2,0.1402578427093818,0.0,0.0,0.0,0.0,0.0,0.1402578427093818,0.7592297046990741
3,0.0,0.42295501857312723,0.1927080788639981,0.27926549611829377,0.3617799129061513,0.6295901371181399,0.0,4.395337558443479
3,0.00011459395242404552,0.0,0.0,0.0,0.3872801181789574,0.0,0.00011459395242404552,1.683158267579265
3,0.1402578427093818,0.0,0.0,0.0,0.0,0.0,0.1402578427093818,0.7592297046990741
4,0.0,0.0,0.0008071843435537048,0.0,0.0,0.043663575068833886,0.0,1.0800473669422976
4,0.015248456221797463,0.0,0.0,0.0,0.0,0.0,0.015248456221797463,0.869486869096149
4,0.0732765045152389,0.0,0.0,0.0,0.0,0.0,0.0732765045152389,0.6747611615133393
4,0.21709196486535315,0.0,0.0,0.0,0.0,0.0,0.21709196486535315,0.4230205038988473
5,0.0,0.0,0.0008071843435537048,0.0,0.0,0.043663575068833886,0.0,1.0800473669422976
5,0.015248456221797463,0.0,0.0,0.0,0.0,0.0,0.015248456221797463,0.869486869096149
5,0.04009146026019808,0.0,0.0,0.0,0.0,0.0,0.04009146026019808,0.7616067955615566
5,0.0732765045152389,0.0,0.0,0.0,0.0,0.0,0.0732765045152389,0.6747611615133393
5,0.1968161448780909,0.0,0.0,0.0,0.0,0.0,0.1968161448780909,0.5760138243400658
5,0.21709196486535315,0.0,0.0,0.0,0.0,0.0,0.21709196486535315,0.4230205038988473
5,0.25244106590831134,0.0,0.0,0.0,0.0,0.0,0.25244106590831134,0.24586575024405483
