iterID,x1,x2,Pareto_f1,Pareto_f2
0,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
0,1.1535884295606351,1.483141331461764,0.8554292194918661,0.9376203998980255
0,2.703664562835437,6.065982060557452,1.0493580179062731,0.8964839579425816
1,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
1,5.385495389866351,4.307374941322561,-0.6941378614846861,0.9821389836154735
1,1.1535884295606351,1.483141331461764,0.8554292194918661,0.9376203998980255
1,2.703664562835437,6.065982060557452,1.0493580179062731,0.8964839579425816
2,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
2,5.385495389866351,4.307374941322561,-0.6941378614846861,0.9821389836154735
2,2.7018294158025444,5.323631258051661,0.7915862909426854,0.5853199413312394
3,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
3,3.7695718236912854,3.997199705347106,-0.7905750027450532,0.4564502002982116
3,3.4095538020737615,4.064149630253212,-0.783898062396698,0.3144105944563289
3,2.418057945237725,4.320267632768286,0.6148763136083063,0.05090031220011293
4,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
4,3.4406711743423046,3.526401552110769,-1.0605819463539703,0.11243876627813565
4,3.0841808578377456,3.379545213720308,-0.9080429176531836,0.008126631936975492
4,2.8107243520970133,3.488860291281828,-0.4169678770864564,6.723305012901193e-05
5,6.058973932669039,3.1642699368864253,-1.1232378794266342,0.9898803239121274
5,3.2547851377073274,3.025568395415556,-1.0808833848286625,2.00473473732643e-06
6,4.68320114165897,6.283185307179586,-1.997870689217915,0.5145918472850095
6,3.392069994952903,3.126493851211535,-1.124890916970335,0.013786934244632065
6,3.3512456752283195,3.005788364508703,-1.1130825890279952,0.001362789309840018
6,3.2547851377073274,3.025568395415556,-1.0808833848286625,2.00473473732643e-06
7,4.68320114165897,6.283185307179586,-1.997870689217915,0.5145918472850095
7,4.880216177237742,6.283185307179586,-1.930145003012158,0.41647976514605556
7,5.2741498441574315,6.283185307179586,-1.2788282939687317,0.23366136276376848
7,3.392069994952903,3.126493851211535,-1.124890916970335,0.013786934244632065
7,3.3512456752283195,3.005788364508703,-1.1130825890279952,0.001362789309840018
7,3.2547851377073274,3.025568395415556,-1.0808833848286625,2.00473473732643e-06
